Section,Row,Index
CR EQU IRB 2,"BREAKDOWN OF TOTAL EXPOSURES UNDER THE PD/LGD APRROACH BY OBLIGOR GRADES:
Institutions applying the PD/LGD approach (Article 155(3) CRR) shall report the required information in the CR EQU IRB 2 template.
Institutions using the PD/LGD approach that apply a unique rating scale or that are able to report in accordance with an internal master scale shall report in CR EQU IRB 2 the rating grades or pools associated to this unique rating scale/master scale. In any other case, the different rating scales shall be merged and ordered in accordance with the following criteria: Obligor grades or pools of the different rating scales shall be pooled together and ordered from the lower PD assigned to each obligor grade or pool to the higher.",729
0010,"UNSETTLED TRANSACTIONS AT SETTLEMENT PRICE
Institutions shall report the unsettled transactions after their due delivery date at the respective agreed settlement prices as referred to in Article 378 CRR. 
All unsettled transactions shall be included in this column, irrespective of whether or not they are at a gain or at a loss after the due settlement date.",730
0020,"PRICE DIFFERENCE EXPOSURE DUE TO UNSETTLED TRANSACTIONS
Institutions shall report the price difference between the agreed settlement price and its current market value for the debt instrument, equity, foreign currency or commodity in question, where the difference could involve a loss for the institution, as referred to in Article 378 CRR. 
Only unsettled transactions at a loss after the due settlement date shall be reported in this column.",731
0030,"OWN FUNDS REQUIREMENTS
Institutions shall report the own funds requirements calculated in accordance with Article 378 CRR.",732
0040,"TOTAL SETTLEMENT RISK EXPOSURE AMOUNT
In accordance with point (b) of Article 92(4) CRR, institutions shall multiply their own funds requirements reported in column 0030 by 12.5 in order to obtain the settlement risk exposure amount.",733
0010,"Total unsettled transactions in the Non-trading Book
Institutions shall report aggregated information about settlement/delivery risk for non-trading book positions (as referred to in point (c)(ii) of Article 92(3) and Article 378 CRR).
Institutions shall report in {r0010;c0010} the aggregated sum of unsettled transactions after their due delivery dates at the respective agreed settlement prices.
Institutions shall report in {r0010;c0020} the aggregated information for price difference exposure due to unsettled transactions at a loss.
Institutions shall report in {r0010;c0030] the aggregated own funds requirements derived from summing the own funds requirements for unsettled transactions by multiplying the “price difference” reported in column 0020 by the appropriate factor based on the number of working days after due settlement date (categories referred to in Table 1 of Article 378 CRR).",734
0020 to 0060,"Transactions unsettled up to 4 days (Factor 0%) 
Transactions unsettled between 5 and 15 days (Factor 8%)
Transactions unsettled between 16 and 30 days (Factor 50 %)
Transactions unsettled between 31 and 45 days (Factor 75%)
Transactions unsettled for 46 days or more (Factor 100%)
Institutions shall report in rows 0020 to 0060 the information about settlement/delivery risk for non-trading book positions in accordance with the categories referred to in Table 1 of Article 378 CRR. 
No own funds requirements for settlement/delivery risk are required for transactions unsettled less than 5 working days after the due settlement date.",735
0070,"Total unsettled transactions in the Trading Book
Institutions shall report aggregated information about settlement/delivery risk for trading book positions (as referred to in point (c)(ii) of Article 92(3) and Article 378 CRR).
Institutions shall report in {r0070;c0010} the aggregated sum of unsettled transactions after their due delivery dates at the respective agreed settlement prices.
Institutions shall report in {r0070;c0020} the aggregated information for price difference exposure due to unsettled transactions at a loss.
Institutions shall report in {r0070;c0030} the aggregated own funds requirements derived from summing the own funds requirements for unsettled transactions by multiplying the “price difference” reported in column 0020 by an appropriate factor based on the number of working days after due settlement date (categories referred to in Table 1 of Article 378 CRR).",736
0080 to 0120,"Transactions unsettled up to 4 days (Factor 0%) 
Transactions unsettled between 5 and 15 days (Factor 8%)
Transactions unsettled between 16 and 30 days (Factor 50 %)
Transactions unsettled between 31 and 45 days (Factor 75%)
Transactions unsettled for 46 days or more (Factor 100%)
Institutions shall report in rows 0080 to 0120 the information about settlement/delivery risk for trading book positions in accordance with the categories referred to in Table 1 of Article 378 CRR. 
No own funds requirements for settlement/delivery risk are required for transactions unsettled less than 5 working days after the due settlement date.",737
0010,"TOTAL AMOUNT OF SECURITISATION EXPOSURES ORIGINATED

Originator institutions shall report the outstanding amount at the reporting date of all current securitisation exposures originated in the securitisation transaction, irrespective of who holds the positions. As such, on-balance sheet securitisation exposures (e.g. bonds, subordinated loans) as well as off-balance sheet exposures and derivatives (e.g. subordinated credit lines, liquidity facilities, interest rate swaps, credit default swaps, etc.) that have been originated in the securitisation shall be reported. 

In case of traditional securitisations where the originator does not hold any position, the originator shall not consider that securitisation in the reporting of this template. For that purpose, securitisation positions held by the originator shall include early amortisation provisions, as defined in Article 242(16) CRR, in a securitisation of revolving exposures.",738
0020-0040,"SYNTHETIC SECURITISATIONS: CREDIT PROTECTION TO THE SECURITISED EXPOSURES

Articles 251 and 252 CRR. 

Maturity mismatches shall not be taken into account in the adjusted value of the credit risk mitigation techniques involved in the securitisation structure.",739
0020,"(-) FUNDED CREDIT PROTECTION (CVA) 

The detailed calculation procedure of the volatility-adjusted value of the collateral (CVA) which shall be reported in this column is laid down in Article 223(2) CRR.",740
0030,"(-) TOTAL OUTFLOWS: UNFUNDED CREDIT PROTECTION ADJUSTED VALUES (G*) 

Following the general rule for “inflows” and “outflows”, the amounts reported under this column shall appear as “inflows” in the corresponding credit risk template (CR SA or CR IRB) and exposure class to which the reporting entity allocates the protection provider (i.e. the third party to which the tranche is transferred by means of unfunded credit protection).

The calculation procedure of the ‘foreign exchange risk’- adjusted nominal amount of the credit protection (G*) is laid down in Article 233(3) CRR.",741
0040,"NOTIONAL AMOUNT RETAINED OR REPURCHASED OF CREDIT PROTECTION

All tranches which have been retained or bought back, e.g. retained first loss positions, shall be reported with their nominal amount.

The effect of supervisory haircuts in the credit protection shall not be taken into account when computing the retained or repurchased amount of credit protection.",742
0050,"SECURITISATION POSITIONS: ORIGINAL EXPOSURE PRE-CONVERSION FACTORS 

This column shall include the exposure values of securitisation positions held by the reporting institution, calculated in accordance with paragraphs 1 and 2 of Article 248 CRR, without applying credit conversion factors, gross of value adjustments and provisions, and any non-refundable purchase price discounts on the securitised exposures as referred to in point (d) of Article 248(1) CRR, and gross of value adjustments and provisions on the securitisation position.

Netting shall only be relevant with respect to multiple derivative contracts provided to the same SSPE, covered by an eligible netting agreement. 

In synthetic securitisations, the positions held by the originator in the form of on-balance sheet items and/or investor’s interest shall be the result of the aggregation of columns 0010 to 0040.",743
0060,"(-) VALUE ADJUSTMENTS AND PROVISIONS 

Article 248 CRR. Value adjustments and provisions to be reported in this column shall only refer to securitisation positions. Value adjustments of securitised exposures shall not be considered.",744
0070,"EXPOSURE NET OF VALUE ADJUSTMENTS AND PROVISIONS

This column shall include the exposure values of securitisation positions calculated in accordance with paragraphs 1 and 2 of Article 248 CRR, net of value adjustments and provisions, without applying conversion factors and gross of any non-refundable purchase price discounts on the securitised exposures as referred to in point (d) of Article 248(1) CRR, and net of value adjustments and provisions on the securitisation position.",745
0080-0110,"CREDIT RISK MITIGATION (CRM) TECHNIQUES WITH SUBSTITUTION EFFECTS ON THE EXPOSURE

Point (57) of Article 4(1) CRR, Chapter 4 of Title II of Part Three CRR and Article 249 CRR

Institutions shall report in these columns information on credit risk mitigation techniques that reduce the credit risk of an exposure or exposures via the substitution of exposures (as indicated below for Inflows and Outflows).

Collateral that has an effect on the exposure value (e.g. if used for credit risk mitigation techniques with substitution effects on the exposure) shall be capped at the exposure value.
Items to be reported here:
collateral, incorporated in accordance with Article 222 CRR (Financial Collateral Simple Method);
eligible unfunded credit protection.",746
0080,"(-) UNFUNDED CREDIT PROTECTION: ADJUSTED VALUES (GA) 

Unfunded credit protection as defined in Article 4(1)(59), Articles 234 to 236 CRR.",747
0090,"(-) FUNDED CREDIT PROTECTION

Funded credit protection as defined in Article 4(1)(58) CRR, as referred to in the first subparagraph  of Article 249(2) CRR and as regulated in Articles 195, 197 and 200 CRR.

Credit linked notes and on-balance sheet netting as referred to in Articles 218 and 219 CRR shall be treated as cash collateral.",748
0100-0110,"SUBSTITUTION OF THE EXPOSURE DUE TO CRM:

Inflows and outflows within the same exposure classes and, when relevant, risk weights or obligor grades shall be reported.",749
0100,"(-) TOTAL OUTFLOWS

Article 222(3), paragraphs 1 and 2 of Article 235 and Article 236 CRR. 

Outflows shall correspond to the covered part of the ‘Exposure net of value adjustments and provisions’ that is deducted from the obligor's exposure class and, where relevant, risk weight or obligor grade, and subsequently assigned to the protection provider's exposure class and, where relevant, risk weight or obligor grade. 

That amount shall be considered as an Inflow into the protection provider's exposure class and, where relevant, risk weights or obligor grades.",750
0110,"TOTAL INFLOWS

Securitisation positions which are debt securities and are used as eligible financial collateral in accordance with Article 197(1) CRR and where the Financial Collateral Simple Method is used, shall be reported as inflows in this column.",751
0120,"NET EXPOSURE AFTER CRM SUBSTITUTION EFFECTS PRE-CONVERSION FACTORS

This column shall include the exposures assigned in the corresponding risk weight and exposure class after taking into account outflows and inflows due to ‘Credit risk mitigation (CRM) techniques with substitution effects on the exposure’.",752
0130,"(-) CREDIT RISK MITIGATION TECHNIQUES AFFECTING THE AMOUNT OF THE EXPOSURE: FUNDED CREDIT PROTECTION FINANCIAL COLLATERAL COMPREHENSIVE METHOD ADJUSTED VALUE (CVAM)

Articles 223 to 228 CRR 
The reported amount shall also include credit linked notes (Article 218 CRR).",753
0140,"FULLY ADJUSTED EXPOSURE VALUE (E*)

The exposure value of securitisation positions calculated in accordance with Article 248 CRR, but without applying the conversion factors laid down in point (b) of Article 248(1) CRR",754
0150,"OF WHICH: SUBJECT TO A CCF OF 0%

Point (b) of Article 248(1) CRR 

In this respect, point (56) of Article 4(1) CRR defines a conversion factor.

For reporting purposes, fully adjusted exposure values (E*) shall be reported for the 0% conversion factor.",755
0160,"(-)NON REFUNDABLE PURCHASE PRICE DISCOUNT

In accordance with point (d) of Article 248(1) CRR, an originator institution may deduct from the exposure value of a securitisation position which is assigned a 1 250 % risk weight any non-refundable purchase price discounts connected with such underlying exposures to the extent that such discounts have caused the reduction of own funds.",756
0170,"(-) SPECIFIC CREDIT RISK ADJUSTMENTS ON UNDERLYING EXPOSURES

In accordance with point (d) of Article 248(1) CRR, an originator institution may deduct from the exposure value of a securitisation position, which is assigned a 1 250 % risk weight or is deducted from Common Equity Tier 1, the amount of the specific credit risk adjustments on the underlying exposures as determined in accordance with Article 110 CRR.",757
0180,"EXPOSURE VALUE

The exposure value of securitisation positions calculated in accordance with Article 248 CRR",758
0190,"(-) EXPOSURE VALUE DEDUCTED FROM OWN FUNDS

In accordance with point (b) of Article 244(1), point (b) of Article 245(1) and Article 253(1) CRR, in case of a securitisation position to which a 1 250% risk weight applies, institutions may, as an alternative to including the position in their calculation of risk-weighted exposure amounts, deduct from own funds the exposure value of the position.",759
0200,"EXPOSURE VALUE SUBJECT TO RISK WEIGHTS

Exposure value minus the exposure value deducted from own funds.",760
0210,"SEC-IRBA

Point (a) of Article 254(1) CRR",761
0220-0260,"BREAKDOWN BY RW BANDS

SEC-IRBA exposures broken down by risk-weight bands.",762
0270,"OF WHICH: CALCULATED UNDER ARTICLE 255(4) (PURCHASED RECEIVABLES) 

Article 255(4) CRR
 
For the purpose of this column, retail exposures shall be treated as purchased retail receivables and non-retail exposures as purchased corporate receivables.",763
0280,"SEC-SA

Point (b) of Article 254(1) CRR",764
0290-0340,"BREAKDOWN BY RW BANDS

SEC-SA exposures broken down by risk-weight bands.

For the RW = 1 250% (W unknown), the fourth paragraph of point (b) of Article 261(2) CRR stipulates that the position in the securitisation shall be risk-weighted at 1 250 % where the institution does not know the delinquency status for more than 5 % of underlying exposures in the pool.",765
0350,"SEC-ERBA

Point (c) of Article 254(1) CRR",766
0360-0570,"BREAKDOWN BY CREDIT QUALITY STEPS (SHORT/LONG TERM CREDIT QUALITY STEPS)

Article 263 CRR

SEC-ERBA Securitisation positions with an inferred rating as referred to in Article 254(2) CRR shall be reported as positions with a rating.

Exposure values subject to risk weights shall be broken down by short and long-term and credit quality steps (CQS) as laid down in Tables 1 and 2 of Article 263 and Tables 3 and 4 of Article 264 CRR.",767
0580-0630,"BREAKDOWN BY REASON FOR APPLICATION OF SEC-ERBA

For each securitisation position, institutions shall consider one of the following options in columns 0580-0620.",768
0580,"AUTO LOANS, AUTO LEASES AND EQUIPMENT LEASES

Point (c) of Article 254(2) CRR 

All auto loans, auto leases and equipment leases shall be reported in this column, even if they qualify for point (a) or (b) of Article 254(2) CRR.",769
0590,"SEC-ERBA OPTION

Article 254(3) CRR",770
0600,"POSITIONS SUBJECT TO POINT (a) OF ARTICLE 254(2) CRR

Point (a) of Article 254(2) CRR",771
0610,"POSITIONS SUBJECT TO POINT (b) OF ARTICLE 254(2) CRR 

Point (b) of Article 254(2) CRR",772
0620,"POSITIONS SUBJECT TO ARTICLES 254(4) OR 258(2) CRR

Securitisation positions subject to SEC-ERBA, where the application of SEC-IRBA or SEC-SA has been precluded by the competent authorities in accordance with Articles 254(4) or 258(2) CRR",773
0630,"FOLLOWING THE HIERARCHY OF APPROACHES 

Securitisation positions where SEC-ERBA is applied by following the hierarchy of approaches laid down in Article 254(1) CRR",774
0640,"INTERNAL ASSESSMENT APPROACH

Article 254(5) CRR on the ‘Internal Assessment Approach’ (IAA) for positions in ABCP programmes",775
0650-0690,"BREAKDOWN BY RW BANDS

Internal Assessment Approach exposures broken down by risk-weight bands",776
0700,"OTHER (RW=1 250%)

Where none of the previous approaches is applied, a risk weight of 1 250 % shall be assigned to securitisation positions in accordance with Article 254(7) CRR.",777
0710-0860,"RISK-WEIGHTED EXPOSURE AMOUNT

Total risk-weighted exposure amount calculated in accordance with Section 3 of Chapter 5 of Title II of Part Three CRR, prior to adjustments due to maturity mismatches or infringement of due diligence provisions, and excluding any risk weighted exposure amount corresponding to exposures redistributed via outflows to another template.",778
0840,"IAA: AVERAGE RISK WEIGHT (%)

The exposure-weighted average risk weights of the securitisation positions shall be reported in this column.",779
0860,"RWEA OF WHICH: SYNTHETIC SECURITISATIONS

For synthetic securitisations with maturity mismatches, the amount to be reported in this column shall ignore any maturity mismatch.",780
0870,"ADJUSTMENT TO THE RISK-WEIGHTED EXPOSURE AMOUNT DUE TO MATURITY MISMATCHES

Maturity mismatches in synthetic securitisations RW*-RW(SP), as calculated in accordance with Article 252 CRR, shall be included, except in the case of tranches subject to a risk weighting of 1 250% where the amount to be reported shall be zero. RW(SP) shall not only include the risk weighted exposure amounts reported under column 0650, but also the risk weighted exposure amounts corresponding to exposures redistributed via outflows to other templates.",781
0880,"OVERALL EFFECT (ADJUSTMENT) DUE TO INFRINGEMENT  OF CHAPTER 2 OF REGULATION (EU) 2017/2402

In accordance with Article 270a CRR, whenever certain requirements are not met by the institution, competent authorities shall impose a proportionate additional risk weight of no less than 250% of the risk weight (capped at 1 250%) which would apply to the relevant securitisation positions under Section 3 of Chapter 5 of Title II of Part Three CRR.",782
0890,"BEFORE CAP

Total risk-weighted exposure amount calculated in accordance with Section 3 of Chapter 5 of Title II of Part Three  CRR, before applying the limits specified in Articles 267 and 268 CRR.",783
0900,"(-) REDUCTION DUE TO RISK WEIGHT CAP

In accordance with Article 267 CRR, an institution which has knowledge at all times of the composition of the underlying exposures may assign the senior securitisation position a maximum risk weight equal to the exposure-weighted-average risk weight that would be applicable to the underlying exposures as if the underlying exposures had not been securitised.",784
0910,"(-) REDUCTION DUE TO OVERALL CAP

In accordance with Article 268 CRR, an originator institution, a sponsor institution or other institution using the SEC-IRBA or an originator institution or sponsor institution using the SEC-SA or the SEC-ERBA may apply a maximum capital requirement for the securitisation position it holds equal to the capital requirements that would be calculated under Chapter 2 or 3 of Title II of Part Three CRR in respect of the underlying exposures had they not been securitised.",785
0920,"TOTAL RISK-WEIGHTED EXPOSURE AMOUNT

Total risk-weighted exposure amount calculated in accordance with Section 3 of Chapter 5 of Title II of Part Three CRR, considering the total risk weight as specified in Article 247(6) CRR.",786
0930,"MEMORANDUM ITEM: RISK WEIGHTED EXPOSURE AMOUNT CORRESPONDING TO THE OUTFLOWS FROM SECURITISATIONS TO OTHER EXPOSURE CLASSES

Risk weighted exposure amount stemming from exposures redistributed to the risk mitigant provider, and therefore computed in the corresponding template, that are considered in the computation of the cap for securitisation positions.",787
0010,"TOTAL EXPOSURES 

Total exposures refer to the total amount of outstanding securitisations and re-securitisations. This row summarises all the information reported by originators, sponsors and investors in subsequent rows.",788
0020,"SECURITISATION POSITIONS

Total amount of outstanding securitisation positions, as defined in point (62) of Article 4(1) CRR, which are not re-securitisations as defined in point (63) of Article 4(1) CRR.",789
0030,"QUALIFYING FOR DIFFERENTIATED CAPITAL TREATMENT

Total amount of securitisation positions which fulfil the criteria of Article 243 or 270 CRR and therefore qualify for differentiated capital treatment.",790
0040,"STS EXPOSURES 

Total amount of STS securitisation positions that meet the requirements set out in Article 243 CRR.",791
0050,"SENIOR POSITION IN SMEs SECURITISATIONS 

Total amount of senior securitisation positions in SMEs which meet the conditions set out in Article 270 CRR.",792
"0060, 0120, 0170, 0240, 0290, 0360 and 0410","NOT QUALIFYING FOR DIFFERENTIATED CAPITAL TREATMENT

Paragraphs 1, 4, 5 and 6 of Article 254 and Articles 259, 261, 263, 265, 266 and 269 CRR

Total amount of securitisation positions which do not qualify for differentiated capital treatment.",793
"0070, 0190, 0310 and 0430","RE-SECURITISATION POSITIONS

Total amount of outstanding re-securitisations positions as defined in point (64) of Article 4(1) CRR.",794
0080,"ORIGINATOR: TOTAL EXPOSURES 

This row summarises information on on-balance items and off-balance sheet items and derivatives of those securitisation and re-securitisation positions for which the institution plays the role of originator, as defined in point (13) of Article 4(1) CRR.",795
"0090-0130, 0210-0250 and 0330-0370","SECURITISATION POSITIONS: ON-BALANCE SHEET ITEMS 

In accordance with point (a) of Article 248(1) CRR, the exposure value of an on-balance sheet securitisation position shall be its accounting value remaining after any relevant specific credit risk adjustments on the securitisation position have been applied in accordance with Article 110 CRR.
On-balance sheet items shall be broken down to capture information regarding application of differentiated capital treatment, as referred to in Article 243 CRR, in rows 0100 and 0120 and on the total amount of senior securitisation positions, as defined in Article 242(6) CRR, in rows 0110 and 0130.",796
"0100, 0220 and 0340","QUALIFYING FOR DIFFERENTIATED CAPITAL TREATMENT

Total amount of securitisation positions which fulfil the criteria of Article 243 CRR and therefore qualify for differentiated capital treatment.",797
"0110, 0130, 0160, 0180, 0230, 0250, 0280, 0300, 0350, 0370, 400 and 420","OF WHICH: SENIOR EXPOSURES

Total amount of senior securitisation positions  as defined in Article 242(6) CRR.",798
"0140-0180, 0260-0300 and 0380-0420","SECURITISATION POSITIONS: OFF-BALANCE SHEET ITEMS AND DERIVATIVES

These rows shall gather information on off-balance sheet items and derivatives securitisation positions subject to a conversion factor under the securitisation framework. The exposure value of an off-balance sheet securitisation position shall be its nominal value, less any specific credit risk adjustment of that securitisation position, multiplied by a 100% conversion factor unless otherwise specified.

Off-balance sheet securitisation positions arising from a derivative instrument listed in Annex II to the CRR, shall be determined in accordance with Chapter 6 of Title II of Part Three CRR. The exposure value for the counterparty credit risk of a derivative instrument listed in Annex II to the CRR shall be determined in accordance with Chapter 6 of Title II of Part Three CRR. 

For liquidity facilities, credit facilities and servicer cash advances, institutions shall provide the undrawn amount.

For interest rate and currency swaps, the exposure value (calculated in accordance with Article 248(1) CRR) shall be provided.

Off-balance sheet items and derivatives shall be broken down to capture information regarding the application of differentiated capital treatment, as referred to in Article 270 CRR, in rows 0150 and 0170 and on the total amount of senior securitisation positions, as defined in Article 242(6) CRR, in rows 0160 and 0180. The same legal references as for rows 0100 to 0130 shall apply.",799
"0150, 0270 and 0390","QUALIFYING FOR DIFFERENTIATED CAPITAL TREATMENT

Total amount of securitisation positions which fulfil the criteria of Article 243 or Article 270 CRR and therefore qualify for differentiated capital treatment.",800
0200,"INVESTOR: TOTAL EXPOSURES 

This row summarises information on on-balance and off-balance sheet items and derivatives of those securitisation and re-securitisation positions for which the institution plays the role of an investor. 

For the purposes of this template, an investor shall be understood as an institution that holds a securitisation position in a securitisation transaction for which it is neither originator nor sponsor.",801
0320,"SPONSOR: TOTAL EXPOSURES 

This row summarises information on on-balance and off-balance sheet items and derivatives of those securitisation and re-securitisation positions for which the institution plays the role of a sponsor, as defined in point (14) of Article 4(1) CRR. If a sponsor is also securitising its own assets, it shall fill in the originator's rows with the information regarding its own securitised assets.",802
0440-0670,"BREAKDOWN OF OUTSTANDING POSITIONS BY CQS AT INCEPTION

These rows gather information on outstanding positions (at reporting date) for which a credit quality step (as laid down in Tables 1 and 2 of Article 263 and Tables 3 and 4 of Article 264 CRR) was determined at origination date (inception). For securitisations positions treated under IAA, the CQS shall be the one at the time an IAA rating was first assigned. In the absence of this information, the earliest CQS-equivalent data available shall be reported.

These rows are only to be reported for columns 0180-0210, 0280, 0350-0640, 0700-0720, 0740, 0760-0830 and 0850.",803
0010,"INTERNAL CODE

Internal (alpha-numerical) code used by the institution to identify the securitisation

The internal code shall be associated to the identifier of the securitisation transaction.",804
0020,"IDENTIFIER OF THE SECURITISATION (Code/Name)

Code used for the legal registration of the securitisation transaction or, if not available, the name by which the securitisation transaction is known in the market, or within the institution in case of an internal or private securitisation 

Where the International Securities Identification Number -ISIN- is available (i.e. for public transactions), the characters that are common to all tranches of the securitisation shall be reported in this column.",805
0021,"INTRA-GROUP, PRIVATE OR PUBLIC SECURITISATION?

This column identifies whether the securitisation is an intra-group, private or public securitisation.

Institutions shall report one of the following abbreviations:

‘PRI’ for Private;
‘INT’ for Intra-group;
‘PUB’ for Public.",806
0110,"ROLE OF THE INSTITUTION: (ORIGINATOR / SPONSOR / ORIGINAL LENDER / INVESTOR)

Institutions shall report the following abbreviations: 
- ‘O’ for Originator;
- ‘S’ for Sponsor;
- ‘I’ for Investor. 
- ‘L’ for Original Lender.

Originator as defined in point (13) of Article 4(1) CRR and Sponsor as defined in point (14) of Article 4(1) CRR. Investors are assumed to be those institutions to which Article 5 of Regulation (EU) 2017/2402 applies. In case Article 43(5) of Regulation (EU) 2017/2402 applies, Articles 406 and 407 CRR in the version applicable on 31 December 2018 shall apply.",807
0030,"IDENTIFIER OF THE ORIGINATOR (Code/Name)

The LEI code applicable to the originator, or, if not available, the code given by the supervisory authority to the originator or, if that is not available, the name of the institution itself shall be reported in this column.

In the case of multi-seller securitisations where the reporting institution is involved as originator, sponsor or original lender, the reporting institution shall provide the identifier of all the entities within its consolidated group that are involved (as originator, sponsor or original lender) in the transaction. If the code is not available or is not known by the reporting institution, the name of the institution shall be reported.

In the case of multi-seller securitisations where the reporting institution holds a position in the securitisation as an investor, the reporting institution shall provide the identifier of all the different originators involved in the securitisation, or, if not available, the names of the different originators. Where the names are not known by the reporting institution, the reporting institution shall report that the securitisation is ‘multi-seller’.",808
0040,"SECURITISATION TYPE: (TRADITIONAL / SYNTHETIC / ABCP PROGRAMME / ABCP TRANSACTION) 

Institutions shall report the following abbreviations:
- ‘AP’ for ABCP programme;
- ‘AT’ for ABCP transaction;
- ‘T’ for Traditional;
- ‘S’ for Synthetic. 

The definitions of ‘Asset Backed Commercial Paper Programme’, ‘Asset Backed Commercial Paper Transaction’, ‘traditional securitisation’ and ‘synthetic securitisation’ are provided in points (11) to (14) of Article 242 CRR.",809
0051,"ACCOUNTING TREATMENT: SECURITISED EXPOSURES ARE KEPT OR REMOVED FROM THE BALANCE SHEET?

Institutions as originators, sponsors and original lenders shall report one of the following abbreviations:
- ‘K’ if entirely recognised;
- ‘P’ if partially derecognised;
- ‘R’ if entirely derecognised;
- ‘N’ if not applicable.

This column summarises the accounting treatment of the transaction. Significant risk transfer (SRT) under Articles 244 and 245 CRR shall not affect the accounting treatment of the transaction under the relevant accounting framework.

In the case of securitisations of liabilities, originators shall not report this column.
Option ‘P’ (partially removed) shall be reported where the securitised assets are recognised in the balance sheet to the extent of the reporting entity’s continuing involvement in accordance with IFRS 9.3.2.16 – 3.2.21.",810
0060,"SOLVENCY TREATMENT: SECURITISATION POSITIONS SUBJECT TO OWN FUNDS REQUIREMENTS?

Articles 109, 244 and 245 CRR

Originators, only, shall report the following abbreviations: 
- ‘N’ not subject to own funds requirements;
- ‘B’ banking book;
- ‘T’ trading book;
- ‘A’ partly in both books.

This column shall summarise the solvency treatment of the securitisation scheme by the originator. It shall indicate whether own funds requirements are calculated on the basis of securitised exposures or securitisation positions (banking book/trading book). 

Where own funds requirements are based on securitised exposures (as no significant risk transfer was achieved) the calculation of own funds requirements for credit risk shall be reported in the CR SA template, for those securitised exposures for which the Standardised Approach is used, or in the CR IRB template for those securitised exposures for which the Internal Ratings Based Approach is used by the institution.

Conversely, where own funds requirements are based on securitisation positions held in the banking book (as a significant risk transfer was achieved), the information on the calculation of own funds requirements for credit risk shall be reported in the CR SEC template. In case of securitisation positions held in the trading book, the information on the calculation of own funds requirements for market risk shall be reported in the MKR SA TDI (standardised general position risk) and in the MKR SA SEC or MKR SA CTP (standardised specific position risk) or in the MKR IM (internal models) templates.

In the case of the securitisations of liabilities, originators shall not report this column.",811
0061,"SIGNIFICANT RISK TRANSFER

Originators, only, shall report the following abbreviations:
- 'N' Not applied for SRT and the reporting entity risk weights its securitised exposures;
- 'A' Achieved SRT under point (a) of Article 244(2) or point (a) of Article 245(2) CRR;
- 'B' Achieved SRT under point (b) of Article 244(2) or point (b) of Article 245(2) CRR;
- 'C' Achieved SRT under point (a) of Article 244(3) or point (a) of Article 245(3) CRR;
- 'D' Applying a 1 250% RW or deducting retained positions in accordance with point (b) of Article 244(1) or point (b) of Article 245(1) CRR.

This column shall summariss whether a significant transfer has been achieved and, if so, by which means. The achievement of SRT will determine the appropriate solvency treatment by the originator.",812
0070,"SECURITISATION OR RE-SECURITISATION?

In accordance with the definition of ‘securitisation’ in point (61) of Article 4(1) CRR and the definition of ‘re-securitisation’ in point (63) of Article 4(1) CRR, the type of securitisation using the following abbreviations shall be reported:
- 'S' for securitisation;
- 'R' for re-securitisation.",813
0075,"STS SECURITISATION

Article 18 of Regulation (EU) 2017/2402

Institutions shall report one of the following abbreviations:
Y – Yes;
N – No.",814
0446,"SECURITISATION QUALIFYING FOR DIFFERENTIATED CAPITAL TREATMENT

Articles 243 and 270 CRR
Institutions shall report one of the following abbreviations:
Y	– Yes;
N	– No.

‘Yes’ shall be reported both in case of STS securitisations qualifying for the differentiated capital treatment in accordance with Article 243 CRR and in case of senior positions in (non-STS) SME securitisations eligible for this treatment in accordance with Article 270 CRR.",815
0080-0100,"RETENTION

Article 6 of the Regulation (EU) 2017/2402;in case Article 43(6) of Regulation (EU) 2017/2402 applies, Article 405 CRR in the version of that Regulation applicable on 31 December 2018.",816
0080,"TYPE OF RETENTION APPLIED

For each securitisation scheme originated, the relevant type of retention of net economic interest as envisaged in Article 6 of Regulation (EU) 2017/2402 shall be reported:

A - Vertical slice (securitisation positions): “retention of no less than 5% of the nominal value of each of the tranches sold or transferred to the investors”;

V - Vertical slice (securitised exposures): retention of no less than 5% of the credit risk of each of the securitised exposures, if the credit risk thus retained with respect to such securitised exposures always ranks pari passu with, or is subordinated to, the credit risk that has been securitised with respect to those same exposures;

B - Revolving exposures: ”in the case of securitisations of revolving exposures, retention of the originator’s interest of no less than 5% of the nominal value of the securitised exposures”; 

C- On-balance sheet: “retention of randomly selected exposures, equivalent to no less than 5% of the nominal amount of the securitised exposures, where such exposures would otherwise have been securitised in the securitisation, provided that the number of potentially securitised exposures is no less than 100 at origination”;

D- First loss: “retention of the first loss tranche and, if necessary, other tranches having the same or a more severe risk profile than those transferred or sold to investors and not maturing any earlier than those transferred or sold to investors, so that the retention equals in total no less than 5% of the nominal value of the securitised exposures”;

E – Exempted. This code shall be reported for those securitisations affected by the application of Article 6(6) of Regulation (EU) 2017/2402;

U – In breach or unknown. This code shall be reported where the reporting institution does not know with certainty which type of retention is being applied, or in case of non-compliance.",817
0090,"% OF RETENTION AT REPORTING DATE

The retention of material net economic interest by the originator, sponsor or original lender of the securitisation shall be not less than 5% (at origination date).

This column shall not be reported where codes ‘E’ (exempted) or ‘N’ (not applicable) are reported under column 0080 (Type of retention applied).",818
