Chunk,Chunk Content,Index
Article31,"31 Outflows from Credit and Liquidity

Facilities

For the purpose of this Article, a liquidity facility shall be understood to

mean any committed, undrawn back-up facility that would be utilised to

refinance the debt obligations of a customer in situations where such a

customer is unable to rollover that debt in financial markets. Its amount

shall be calculated as the amount of the debt issued by the customer

currently outstanding and maturing within 30 calendar days that is

backstopped by the facility. The portion of the liquidity facility that is

01/01/2022

01/01/2022

backing a debt that does not mature within 30 calendar days shall be

excluded from the scope of the definition of the facility. Any additional

capacity of the facility shall be treated as a committed credit facility with

the associated drawdown rate as specified in this Article. General

working capital facilities for corporate entities will not be classified as

liquidity facilities, but as credit facilities.

Credit institutions shall calculate outflows for credit and liquidity facilities

by multiplying the amount of the credit and liquidity facilities by the

committed credit and liquidity facilities shall be determined asa

percentage of the maximum amount that can be drawn down within 30

calendar days, net of any liquidity requirement that would be applicable

under Article 23 for the trade finance off-balance sheet items and net of

any collateral made available to the credit institution and valued in

accordance with Article 9, provided that the collateral fulfils all of the

following conditions:

(a) it may be reused or hypothecated by the credit institution;

(b) it is held in the form of liquid assets, but is not recognised as part of

the liquidity buffer, and

(c) it does not consist in assets issued by the counterparty of the facility

or one of its affiliated entities.

If the necessary information is available to the credit institution, the

maximum amount that can be drawn down for credit and liquidity facilitiesshall be determined as the maximum amount that could be drawn down

given the counterparty's own obligations or given the pre-defined

contractual drawdown schedule coming due over 30 calendar days.

The maximum amount that can be drawn down from undrawn committed

credit facilities and undrawn committed liquidity facilities within the next

30 calendar days shall be multiplied by 5% if they qualify for the retail

deposit exposure class.

01/01/2022

01/01/2022

01/01/2022

01/01/2022

The maximum amount that can be drawn down from undrawn committed

credit facilities within 30 calendar days shall be multiplied by 10% where

they meet the following conditions:

(a) they do not qualify for the retail deposit exposure class;

including non-financial corporates, sovereigns, central banks,

multilateral development banks and public sector entities;

(c) they have not been provided for the purpose of replacing funding of

the client in situations where the client is unable to obtain funding

requirements in the financial markets.

The maximum amount that can be drawn down from undrawn committed

liquidity facilities within the next 30 calendar days shall be multiplied by

30% where they meet the conditions referred to in paragraph 4 points

investment

The undrawn committed amount of a liquidity facility that has been

provided to an SSPE for the purpose of enabling that SSPE to purchase

assets, other than securities, from clients that are not financial

amount of assets currently purchased from clients and where the

maximum amount that can be drawn down is contractually limited to the

amount of assets currently purchased.

The credit institution shall multiply the maximum amount that can be

drawn down from other undrawn committed credit and undrawn

committed liquidity facilities within 30 calendar days by the corresponding

outflow rate as follows:01/01/2022

(a) 40% for credit and liquidity facilities extended to credit institutions and

for credit facilities extended to other regulated financial institutions,

including insurance undertakings and investment firms, ClUs or non-

open ended investment scheme;

(b) 100% for liquidity facilities that the credit institution has granted to

SSPEs other than those referred to in pa

arrangements under which the institution is required to buy or swap

assets from an SSPE;

(c) 100% for credit and liquidity facilities to financial customers not

have been set up and are sponsored by the central or regional

government of the United Kingdom may apply the treatments set out in

promotional lenders for the sole purpose of directly or indirectly funding

promotional loans, provided that those loans meet the requirements for

promotional loans are extended as pass through loans via another credit

institution acting as an intermediary, a symmetric inflow and outflow may

be applied by the credit institution acting as an intermediary. That inflow

and outflow shall be calculated by applying to the undrawn committed

credit or liquidity facility received and extended the rate that is applicable

to that facility by virtue of the first subparagraph of this paragraph and

respecting the conditions and requirements otherwise imposed in relation

to it by this paragraph.

The promotional loans referred to in this paragraph shall be available

only to persons who are not financial customers on a non-competitive,

not for profit basis in order to promote public policy objectives of the

central or regional government of the United Kingdom. It shall only be

possible to draw on such facilities following the reasonably expected

demand for a promotional loan and up to the amount of such demand

provided there is a subsequent reporting on the use of the funds

distributed.

01/01/2022

01/01/2022

01/01/2022

01/01/2022

[Note: This rule corresponds to Article 31 of Regulation (EU) No 2015/61as it applied immediately before revocation by the Treasury]",44
Article31a,"31a Outflows from Liabilities and

Commitments Not Covered By Other Provisions of

This Chapter

Credit institutions shall multiply by a 100% outflow rate any liabilities that

become due within 30 calendar days, except for the liabilities referred to

Where the total of all contractual commitments to extend funding to non-

financial customers within 30 calendar days, other than commitments

but not be limited to, natural persons, SMEs, corporates, sovereigns,

multilateral development banks and public sector entities, and shall

tomers and central banks.

[Note: This rule corresponds to Article 31a of Regulation (EU) No

2015/61 as it applied immediately before revocation by the Treasury]

Chapter 3 Liquidity Inflows",45
Article32,"32 Inflows

Liquidity inflows shall be assessed over a period of 30 calendar days.

They shall comprise only contractual inflows from exposures that are not

past due and for which the credit institution has no reason to expect non-

performance within 30 calendar days.

Credit institutions shall apply a 100% inflow rate to inflows referred to in

paragraph 1, including in particular the following inflows:

01/01/2022

(a) monies due from central banks and financial customers with a

residual maturity of no more than 30 calendar days;

(b) monies due from trade finance transactions referred to in point (b) of

the second subparagraph of Article 162(3) of CRR with a residual

maturity of no more than 30 calendar days;

(c) monies due from securities maturing within 30 calendar days;

(d) monies due from positions in major indexes of equity instruments,

provided there is no double counting with liquid assets. Those monies

shall include monies contractually due within 30 calendar days, such

as cash dividends from those major indexes and cash due from those

equity instruments sold but not yet settled, if they are not recognised

as liquid assets in accordance with Title Il (The Liquidity Buffer).By way of derogation from paragraph 2, the inflows set out in this

paragraph shall be subject to the following requirements:

(a) monies due from non-financial customers with a residual maturity of

no more than 30 calendar days, with the exception of monies due

from those customers from trade finance transactions or maturing

securities, shall be reduced for the purposes of principal payment by

50% of their value. For the purposes of this point, the term ‘non-

financial customers’ shall have the same meaning as in Article

received a commitment as referred to in the second subparagraph of",46
Article31(9),"31(9) from a credit institution set up and sponsored by the

them to disburse a promotional loan to a final recipient, or have

received a similar commitment from a multilateral development bank

or a public sector entity, may take an inflow into account up to the

amount of the outflow that they apply to the corresponding

commitment to extend those promotional loans;

(b) monies due from secured lending and capital market-driven

transactions, as defined in points (2) and (3) respectively of Article

192 of CRR, with a residual maturity of no more than 30 calendar

days shall be multiplied by:

(i) 0% where they are collateralised by assets that, whether or not

they are re-used in another transaction, would qualify in

accordance with Articl

categories of lev: 10, with the

exception of extremely high quality covered bonds referred to in

point (f) of Article 10(1);

(ii) 7% where they are collateralised by assets that, whether or not

they are re-used in another transaction, would qualify in

(iii) 15% where they are collateralised by assets that, whether or not

they are re-used in another transaction, would qualify in

(iv) 25% where they are collateralised by assets that, whether or not

they are re-used in another transaction, would qualify in

categories of level 2B asset referred to in point (i), (ii) or (iv) of

point (g) of Article 13(2);

(v) 30% where they are collateralised by assets that, whether or not

they are re-used in another transaction, would qualify in

(vi) 35% where they are collateralised by assets that, whether or notthey are re-used in another transaction, would qualify in

categories of level 2B asset referred to in point (iii) or (v) of point

(g) of Article 13(2);

(vii) 50% if they are collateralised by assets that, whether or not they

are re-used in another transaction, would qualify in accordance

(viii)the percentage minimum haircut determined in accordance with

paragraphs (2) and (3) of Article 15 if they are collateralised by

as shares or units in ClUs of the same level as the underlying

liquid assets;

(ix) 100% where they are collateralised by assets that do not fall

within any of points (i) to (viii) of this point.

However, no inflow shall be recognised where the collateral is used by

the credit institution to cover a short position in accordance with the

second sentence of Article 30(5);

(c) monies due from contractual margin loans maturing in the next 30

calendar days made against non-liquid assets collateral may receive

a 50% inflow rate. Those inflows may only be considered where the

credit institution is not using the collateral it originally received

against the loans to cover any short positions;

(d) monies due that the credit institution owing those monies treats in

accordance with Article 27 shall be multiplied by a corresponding

symmetrical inflow rate. Where the corresponding rate cannot be

established, a 5% inflow rate shall be applied;

(e) collateral swaps, and other transactions with a similar form that

mature within 30 calendar days shall lead to an inflow where the

asset lent is subject to a lower haircut under Chapter 2 of Title III

inflow shall be calculated by multiplying the market value of the asset

lent by the difference between the inflow rate applicable to the asset

borrowed and the inflow rate applicable to the asset lent in

accordance with the rates specified in point (b). For the purposes of

this calculation, a 100% haircut shall apply to assets that do not

qualify as liquid assets;

(f) where the collateral obtained through reverse repos, securities

borrowings, collateral swaps, or other transactions with a similar

form, maturing within 30 calendar days is used to cover short

positions that can be extended beyond 30 calendar days, the credit

institution shall assume that such reverse repos, securities

borrowings, collateral swaps or other transactions with a similar form

will be rolled-over and will not give rise to any cash inflows reflecting

the need to continue to cover the short position or to re-purchase therelevant securities. Short positions shall include both instances where

in a matched book the credit institution sold short a security outright

as part of a trading or hedging strategy and instances where in a

matched book the credit institution has borrowed a security for a

given period and lent the security out for a longer period;

(g)undrawn credit or liquidity facilities, including undrawn committed

liquidity facilities from central banks, and other commitments

received, other than those referred to in the second subparagraph of",47
Article31(9),"31(9) and in Article 34, shall not be taken into account as an

inflow;

01/01/2022

01/01/2022

01/01/2022

01/01/2022

(h) monies due from securities issued by the credit institution itself or by

a SSPE with which the credit institution has close links shall be taken

into account on a net basis with an inflow rate applied on the basis of

the inflow rate applicable to the underlying assets in accordance with

this Article;

(i) loans with an undefined contractual end date shall be taken into

account with a 20% inflow rate, provided that the contract allows the

credit institution to withdraw or to request payment within 30 calendar

days.

Point (a) of paragraph 3 shall not apply to monies due from secured

lending and capital market-driven transactions as defined in points (2)

and (3) of Article 192 of CRR that are collateralised by liquid assets in

accordance with Title er) as referred to in point (b)

accounts in accordance with regulatory requirements for the protection of

customer trading assets shall be taken into account in full, provided that

those segregated balances are maintained in liquid assets as defined in

Title Il (The Liquidity Buffer).

Outflows and inflows expected over 30 calendar days from the contracts

listed in Annex II to CRR and from credit derivatives shall be calculated

100% inflow rate in the event of a net inflow.

Credit institutions shall not take into account any inflows from any of theliquid assets referred to in Title Il (The Liquidity Buffer) other than

payments due on the assets that are not reflected in the market value of

the asset.

01/01/2022

01/01/2022

01/01/2022

Credit institutions shall not take into account inflows from any new

obligations entered into.

Credit institutions shall take liquidity inflows which are to be received in

third countries where there are transfer restrictions or which are

denominated in non-convertible currencies into account only to the extent

that they correspond to outflows respectively in the third country or

currency in question.

[Note: This rule corresponds to Article 32 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",48
Article33,"33 Cap On Inflows

Credit institutions shall limit the recognition of liquidity inflows to 75% of

total liquidity outflows as defined in Chapter 2 of Title Ill (Liquidity

(a) inflows where the provider is a parent or a subsidiary of the credit

institution or another subsidiary of the same parent or linked to the

credit institution by a common management relationship;

(b) inflows from deposits placed with other credit institutions within a

group of entities qualifying for the treatment set out in Article 113(6) of

from a multilateral development bank or a public sector entity that the

credit institution has passed-through.

[Note: This is a permission under section 144G of FSMA to which Part 8

01/01/2022

01/01/2022

01/01/2022

Specialised credit institutions may apply for permission from the

competent authority to be exempted from the cap on inflows. For thepurpose of this paragraph, a specialised credit institution is a credit

institution whose:

(a) main activities are leasing and factoring business, excluding the

activities described in paragraph 4;

(b) business activities exhibit a low liquidity risk profile; and

(c) ratio of main activities, as referred to in (a), exceeds 80% of its total

balance sheet at an individual level.

[Note: This is a permission under section 144G of FSMA to which Part 8

Specialised credit institutions may apply for permission from the

competent authority to be subject to a cap on inflows of 90%. For the

purpose of this paragraph, a specialised credit institution is a credit

institution whose:

(a) main activities are the following:

(i) financing for the acquisition of motor vehicles;

(ii) an activity that immediately before exit day would have amounted

to consumer credit for the purposes of provisions implementing

Directive 2008/48/EC;

(b) business activities exhibit a low liquidity risk profile; and

(c) ratio of main activities, as referred to in (a) exceeds 80% of the total

balance sheet at an individual level.

[Note: This is a permission under section 144G of FSMA to which Part 8

01/01/2022

01/01/2022

01/01/2022

Credit institutions must disclose the derogations applied in paragraphs 3

and 4 in their annual report.

The exemptions laid down in paragraphs 2, 3 4, when permitted by the

[Note: This rule corresponds to Article 33 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",49
Article34,"34 Inflows Within a Group

By way of derogation from Article 32(3)(g), credit institutions may apply

to the competent authority for permission to apply a higher inflow rateon a case by case basis for undrawn credit and liquidity facilities with a

counterparty who:

(a) is the parent or a subsidiary of the credit institution or another

subsidiary of the same parent or linked to the credit institution by a

common management relationship;

(b) applies, by way of derogation from Article 31, a corresponding

symmetric outflow rate to any inflow rate that exceeds 40%; and

(c) is established in the United Kingdom;

(d) [Note: Provision left blank].

[Note: This is a permission under section 144G of FSMA to which Part 8

[Note: This rule corresponds to Article 34 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

01/01/2022

01/01/2022

01/01/2022

01/01/2022

Title IV Final Provisions",50
Article35,"35 United Kingdom-Guaranteed Bank Assets

Assets issued by credit institutions which benefit from a guarantee from

the central government of the United Kingdom shall qualify as level 1

(a) was granted or committed to for a maximum amount prior to 30 June

2014;

(b) is a direct, explicit, irrevocable and unconditional guarantee and

covers the failure to pay principal and interest when due.

Where the guarantor is a regional government or local authority in the

United Kingdom, the guaranteed asset shall qualify as level 1 only

where exposures to such regional government or local authority are

treated as exposures to their central government in accordance with",51
Article115(2),"115(2) of CRR and the guarantee complies with the requirements

the relevant issuer or its assets, as applicable, as amended or replaced

from time to time. Where the amount of a guarantee in favour of an

issuer or its assets is increased at any time after 30 June 2014, theassets shall only qualify as liquid assets up to the maximum amount of

the guarantee that was committed prior to that date.

The assets referred to in this Article shall be subject to the same

requirements applicable under Chapter 2 of the Liquidity Coverage

claims on or guaranteed by the central or regional governments, local

authorities or public sector entities referred to in Article 10(1)(c).

01/01/2022

01/01/2022

01/01/2022

01/01/2022

Where a credit institution or its assets benefit from a guarantee scheme,

the scheme as a whole shall be regarded as a guarantee for the

purposes of this Article.

[Note: This rule corresponds to Article 35 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",52
Article37,"37 Transitional Provision for Securitisations

Backed by Residential Loans

By derogation from Article 13, securitisations issued before 1 October

2015, where the underlying exposures are residential loans as referred to

in point (g)(i) of Article 13(2), shall qualify as Level 2B assets if they

2015, where the underlying exposures are residential loans as referred to

in point (g)(i) of Article 13(2) that do not meet the average loan-to-value

or the loan-to-income requirements set out in that point, shall qualify as

Level 2B assets until 1 October 2025, provided that the underlying

exposures include residential loans that were not subject to a national

law regulating loan-to-income limits at the time they were granted and

such residential loans were granted at any time prior to 1 October 2015.

[Note: This rule corresponds to Article 37 of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]",53
Article38,"38 Transitional Provision for the Introduction

of the Liquidity Coverage Ratio

[Note: Provision left blank]01/01/2022

01/01/2022

01/01/2022

01/01/2022

01/01/2022

[Note: Provision left blank]",54
Article39,"39 Entry Into Force

[Note: Provision left blank]

Annex | Formulae for the Determination of the

Liquidity Buffer Composition

Credit institution shall use the formulae laid down in this Annex to

determine the composition of their liquidity buffer in accordance with",55
"Article17.

(b)","17.

(b) the level 2A asset amount; plus

(c) the level 2B asset amount;

minus the lesser of:

(d) the sum of (a), (b) and (c); or

(e) the ‘excess liquid assets amount’ as calculated in accordance with

‘Excess liquid assets’ amount: this amount shall be comprised of the

components defined herein:

(a) the adjusted non-covered bond /evel 1 asset amount, which shall be

equal to the value post-haircuts of all level 1 liquid assets, excluding

level 1 covered bonds, that would be held by the credit institution

upon the unwind of any secured funding, secured lending or

01/01/2022

collateral swap transaction that matures within 30 calendar days from

the calculation date and where the credit institution and the

counterparty exchange liquid assets on at least one leg of the

transaction;

(b) the adjusted level 1 covered bond amount, which shall be equal to thevalue post-haircuts of all level 1 covered bonds that would be held by

the credit institution upon the unwind of any secured funding, secured

lending or collateral swap transaction that matures within 30 calendar

days from the calculation date and where the credit institution and the

counterparty exchange liquid assets on at least one leg of the

transaction;

(c) the adjusted level 2A asset amount, which shall be equal to the value

post-haircuts of all level 2A assets that would be held by the credit

institution upon the unwind of any secured funding, secured lending

or collateral swap transaction that matures within 30 calendar days

from the calculation date and where the credit institution and the

counterparty exchange liquid assets on at least one leg of the

transaction; and

(d) the adjusted level 2B asset amount, which shall be equal to the value

post-haircuts of all level 2B assets that would be held by the credit

institution upon the unwind of any secured funding, secured lending

or collateral swap transaction that matures within 30 calendar days

from the calculation date and where the credit institution and the

counterparty exchange liquid assets on at least one leg of the

transaction.

Calculation of the ‘excess liquid assets amount’: this amount shall be

equal to:

a) the adjusted non-covered bond level 1 asset amount; plus

b) the adjusted level 1 covered bond amount; plus

c) the adjusted level 2A asset amount; plus

d) the adjusted level 2B asset amount;

minus the lesser of:

(e) the sum of (a), (b), (c) and (d);

(f) 100/30 times (a);

(g) 100/60 times the sum of (a) and (b);

01/01/2022

01/01/2022

3

(h) 100/85 times the sum of (a), (b) and (c).

[Note: This rule corresponds to Annex | of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]Annex II Formula for the Calculation of the Net

Liquidity Outflow

NLO = Ne’

TO = Total outflows

TI = Total inflows

FEI = Fully exempted inflows

IHC = Inflows subject to higher cap of 90% outflows

IC = Inflows subject to cap of 75% of outflows

Net liquidity outflows equals total outflows less the reduction for fully

exempt inflows less the reduction for inflows subject to the 90% cap less

the reduction for inflows subject to the 75% cap

NLO = TO — MIN(FEI, TO) — MIN(IHC, 0,9*MAX(TO — FEI, 0)) — MIN(IC,

0,75*MAX(TO — FEI — IHC/0,9, 0))

[Note: This rule corresponds to Annex Il of Regulation (EU) No 2015/61

as it applied immediately before revocation by the Treasury]

Rules on Standards for Specifying the Conditions

for the Application of the Derogations Concerning

Currencies with Constraints on the Availability of

Liquid Assets (previously Regulation (EU) No

2016/709)",56
Article1,"1 Subject Matter

Chapter 3 of the Liquidity Coverage Ratio (CRR) Part of the PRA

Rulebook specifies the conditions for the application of the derogations

referred to in Article 419(2) of CRR concerning currencies with

constraints on the availability of liquid assets.

01/01/2022

01/01/2022

01/01/2022

01/01/2022

01/01/2022

[Note: This rule corresponds to Article 1 of Regulation (EU) No 2016/709as it applied immediately before revocation by the Treasury]",57
Article2,"2 Notification of the Derogation

[Note: Provision left blank]

[Note: Provision left blank]",58
Article3,"3 Assessment of Justified Needs

An institution shall be deemed to have justified needs for liquid assets for

the purposes of Article 419(3) of CRR only where the following

conditions are met:

(a) it has reduced, by sound liquidity management, the need for liquid

assets in the full range of business conducted by the institution;

(b) its holdings of liquid assets are consistent with the availability of those

assets in the relevant currency.

[Note: This rule corresponds to Article 3 of Regulation (EU) No 2016/709

as it applied immediately before revocation by the Treasury]",59
Article4,"4 Application of the Derogation Provided for

in Article 419(2)(a) of CRR

An institution shall take all reasonable steps to fulfil the liquidity coverage

requirement set out in Article 412 of CRR before applying the derogation

01/01/2022

01/01/2022

01/01/2022

An institution shall ensure that it is at all times able to operationally

identify the liquid assets used to meet foreign currency liquidity coverage

requirements and the liquid assets held as a result of the application of

the derogation provided for in Article 419(2)(a) of CRR.

An institution shall ensure that its foreign exchange risk management

framework meets the following conditions:

(a) currency mismatches resulting from the use of the derogation

provided for in Article 419(2)(a) of CRR are adequately measured,

monitored, controlled and justified;

(b) liquid assets inconsistent with the distribution by currency of liquidityoutflows after the deduction of inflows can be liquidated in pounds

Sterling whenever necessary;

(c) historical evidence relating to stress periods supports the conclusion

that the institution is able to promptly liquidate the assets referred to

in point (b).

An institution which uses liquid assets in a currency other than pounds

Sterling to cover liquidity needs in pounds Sterling shall apply a haircut of

8% to the value of those assets in addition to any haircut applied in

accordance with Article 418 of CRR.

Where the liquid assets are denominated in a currency that is not actively

traded in global foreign exchange markets, the additional haircut shall be

the higher of 8% and the largest monthly exchange rate movement

between both currencies in the 10 years prior to the relevant reporting

reference date.

[Note: This rule corresponds to Article 4 of Regulation (EU) No 2016/709

as it applied immediately before revocation by the Treasury]

01/01/2022

01/01/2022

01/01/2022",60
Article5,"5 Application of the Derogation Provided for

in Article 419(2)(B) of CRR

An institution shall take all reasonable steps to fulfil the liquidity coverage

requirement set out in Article 412 of CRR before applying the derogation

An institution shall obtain from the central bank in respect of the currency

with constraints on the availability of liquid assets a credit line which

complies with the following conditions:

(a) the credit line specifies that the institution has a legally binding

entitlement to access the credit facilities and that entitlement is set

out in a written agreement;

(b) following the decision to provide a credit line, access to the credit

facilities is not subject to a credit decision by the central bank;

(c) the credit facilities can be drawn on by the institution without delay

and no later than 1 day after giving notice to the central bank;

(d) the credit line is at all times available for a period exceeding the 30day-period of the liquidity coverage requirement specified in Article

412(1) of CRR.

An institution shall fully post collateral at the central bank, which, after

being subject to any haircut applied by the central bank, shall at all times

be equal to or greater than the maximum amount that may be drawn on

the credit line.

[Note: This rule corresponds to Article 5 of Regulation (EU) No 2016/709

as it applied immediately before revocation by the Treasury]

01/01/2022

01/01/2022

01/01/2022

01/01/2022",61
Article6,"6 Fee Payable for the Granting of a Credit

Line

An institution shall pay a fee established by the central bank. The fee

shall be made up of two components for the credit line referred to in",62
Article5(2),"5(2) and shall ensure that there is no economic advantage or

disadvantage arising from the application of the derogation provided for

in Article 419(2)(b) of CRR, when compared to institutions which do not

apply the derogation.

The fee to be paid by an institution for the credit line shall be the sum of

the following components:

(a) an amount which is based on the amount of the credit line drawn

down;

(b) an amount which approximates the difference between the following:

(i) the yield on the assets used to secure the credit line;

(ii) the yield on a representative portfolio of assets of the type

provided for in points (a) to (d) of Article 416(1) of CRR.

The amount referred to in point (b) of the first subparagraph may be

adjusted to take into account any material differences in credit risk

between the sets of assets referred to in that point.

[Note: This rule corresponds to Article 6 of Regulation (EU) No 2016/709

as it applied immediately before revocation by the Treasury]",63
Article7,"7 Limitation on the Use of Derogations[Note: Provision left blank]

[Note: Provision left blank]

01/01/2022

4

01/01/2022

01/01/2022",64
Article8,"8 Final Provisions

[Note: Provision left blank]

Rules on Standards for Additional Liquidity

Outflows Corresponding to Collateral Needs

Resulting from the Impact of an Adverse Market

Scenario on an Institution's Derivatives

Transactions (previously Regulation (EU) No

2017/208)",65
Article1,"1 Materiality of an Institution's Derivatives

Transactions

An institution's derivatives transactions shall be considered material for

the purposes of the first subparagraph of Article 423(3) of CRR where

the total of notional amounts of such transactions has exceeded 10% of

the net liquidity outflows as referred to in Article 412(1) of CRR at any

time in the previous two years.

For the purposes of paragraph 1, the net liquidi ws shall be

calculated without the additional outflow component referred to in the first

subparagraph of Article 423(3) of CRR.

[Note: This rule corresponds to Article 1 of Regulation (EU) No 2017/208

as it applied immediately before revocation by the Treasury]",66
Article2,"2 Calculation of an Additional Outflow

Corresponding to Collateral Needs Resulting from

the Impact of an Adverse Market Scenario on an

Institution's Derivative Transactions

The additional outflow corresponding to collateral needs resulting from

the impact of an adverse market scenario on an institution's derivatives

transactions considered as material in application of Article 1, shall be01/01/2022

01/01/2022

01/01/2022

the largest absolute net 30-day collateral flow realised during the 24

months preceding the date of calculation of the liquidity coverage

requirement referred to in Article 412(1) of CRR.

Institutions may only treat inflows and outflows of transactions on a net

basis where they are executed under the same master netting

agreement. The absolute net collateral flow shall be based on both

realised outflows and inflows, and the netting shall be calculated at the

institution's portfolio level.

[Note: This rule corresponds to Article 2 of Regulation (EU) No 2017/208

as it applied immediately before revocation by the Treasury]",67
Article3,"3 Entry Into Force

[Note: Provision left blank]

---- Page Break ----",68
